% ____________________________________________________________________
%         
%                       Data Diskette for
%                   CASE STUDIES IN BIOMETRY
% 
% By Nicholas Lange, Louise Ryan and Lynne Brillard, David Brillinger,
% Loveday Conquest, Joel Greenhouse.
% 
% Published by John Wiley & Sons, Inc., copyright 1994.  
% ____________________________________________________________________
% 
% You have obtained all of the data used by all of the authors in the
% twenty-one chapters of Case Studies in Biometry.  
% 
% Each chapter contains either one or two data sets, except for Chapter 19,
% which has seven data sets. Corresponding to each data set are ASCII files
% with extensions ".dat" (the data), ".txt" (the data description file), and 
% ".sas" (a simple SAS program to read the .dat file). 
% 
% For chapters containing only one data set, the file name prefix is 
% "ch" followed by chapter number, and then the above extensions.
% For instance, for Chapter 2 you will find files "ch2.dat",
% "ch2.txt", and "ch2.sas".
% 
% For chapters containing two data sets, the letters "a" and "b" are
% added after the chapter number. For instance, for Chapter 1, you will
% find the files "ch1a.dat", "ch1a.txt", "ch1a.sas", "ch1b.dat",
% "ch1b.txt", "ch1b.sas".
% 
% For chapter 19, there are seven data sets, ch19a.dat
% through ch19g.dat.  Each one has the same format, but
% refers to different subsets of the whole data
% set.  Details are given in the single text file, ch19.txt.
% 
% Please note permissions and usage information included in
% the .txt file for each subset.
% _______________________________________________________________
%
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% File: ch19a.dat
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
% File specific Information:
%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
%
% CASE STUDIES IN BIOMETRY: Chapter 19.
%   
% Patterns of Lung Cancer Risk in Ex-Smokers
% 
% Brenda W. Gillespie, Michael T. Halpern, Kenneth E. Warner
% 
% The files ch19a.dat through ch19g.dat  contain various subsets
%  of the data used in this chapter.   Due to the very large size of the
% full data set, the data were broken into these subsets to
% facilitate easier access by the readers.  
% 
% The seven data sets and their sizes are as follows:
% 
% ch19a.dat   0.04 megs   never-smokers
% ch19b.dat   0.67 megs   current smokers: male
% ch19c.dat   0.61 megs   current smokers: female
% ch19d.dat   1.15 megs   former smokers:  male, no college
% ch19e.dat   1.49 megs   former smokers:  male, some college 
% ch19f.dat   0.70 megs   former smokers:  female, no college
% ch19g.dat   0.93 megs   former smokers:  female, some college
%   
% Total size: 5.42 megs
%  
% 
% The ten variables listed in each file are:  
% 
% Age:           Age on January 1, 1982. 
% Gender:         0=Male, 1=Female 
% Education:      0=no college, 1=some college  
% Smoker:         1=never, 2=former, 3=current  
% Cigarettes/day: values rounded UP to the nearest 5.
% Years smoked:   Number of years smoked as of January 1, 1982. 
% Years quit:     Number of years since smoking cessation, as of 
%                 January 1, 1982 (zero indicates less than one year)
% Followup Time:  Years from January 1, 1982 until death or last
%                 interview.
% Death codes:    0=alive, 1=death from other causes, 2=lung cancer death.
% Freq:           the frequency at which each combination of variables occured.
% 
% Permission statement:
% 
% The authors grant permission to redistribute this data set in the format
% provided.  Use of the data is restricted to non-commercial and
% scientific purposes.  Ownership of the data resides with the
% American Cancer Society.  Analyses derived from the data should
% be conducted with the Society's explicit approval and 
% potential participation if any publication in relation to
% such analyses is contemplated.  
% 
%
%
% Information about the dataset
% CLASSTYPE: numeric
% CLASSINDEX: none specific
%

@relation csb-ch19a

@attribute Age INTEGER
@attribute Gender {0,1}
@attribute Education {0,1}
@attribute Smoker {1}
@attribute Cigarettes/day {0}
@attribute Years_smoked {0}
@attribute Years_quit {0}
@attribute Followup_Time INTEGER
@attribute Death_codes INTEGER
@attribute Freq INTEGER

@data
35,0,0,1,0,0,0,6,0,159
35,0,0,1,0,0,0,5,1,1
35,0,0,1,0,0,0,6,1,1
35,0,1,1,0,0,0,6,0,628
35,0,1,1,0,0,0,2,1,2
35,1,0,1,0,0,0,6,0,639
35,1,0,1,0,0,0,1,1,1
35,1,0,1,0,0,0,2,1,1
35,1,0,1,0,0,0,6,1,2
35,1,1,1,0,0,0,6,0,1313
35,1,1,1,0,0,0,2,1,2
35,1,1,1,0,0,0,3,1,2
35,1,1,1,0,0,0,4,1,1
35,1,1,1,0,0,0,6,1,1
36,0,0,1,0,0,0,6,0,136
36,0,0,1,0,0,0,5,1,1
36,0,1,1,0,0,0,6,0,484
36,0,1,1,0,0,0,5,1,1
36,0,1,1,0,0,0,6,1,1
36,1,0,1,0,0,0,6,0,534
36,1,0,1,0,0,0,1,1,3
36,1,0,1,0,0,0,3,1,1
36,1,0,1,0,0,0,6,1,1
36,1,1,1,0,0,0,6,0,1067
36,1,1,1,0,0,0,2,1,1
36,1,1,1,0,0,0,4,1,3
36,1,1,1,0,0,0,6,1,2
37,0,0,1,0,0,0,6,0,134
37,0,0,1,0,0,0,4,1,1
37,0,1,1,0,0,0,5,0,1
37,0,1,1,0,0,0,6,0,458
37,0,1,1,0,0,0,5,1,2
37,1,0,1,0,0,0,6,0,552
37,1,0,1,0,0,0,4,1,2
37,1,1,1,0,0,0,6,0,1048
37,1,1,1,0,0,0,1,1,2
37,1,1,1,0,0,0,3,1,1
37,1,1,1,0,0,0,5,1,3
38,0,0,1,0,0,0,6,0,168
38,0,0,1,0,0,0,3,1,1
38,0,1,1,0,0,0,6,0,492
38,0,1,1,0,0,0,3,1,1
38,0,1,1,0,0,0,6,1,1
38,1,0,1,0,0,0,6,0,686
38,1,0,1,0,0,0,1,1,1
38,1,0,1,0,0,0,2,1,1
38,1,0,1,0,0,0,3,1,1
38,1,1,1,0,0,0,6,0,1208
38,1,1,1,0,0,0,1,1,1
38,1,1,1,0,0,0,2,1,2
38,1,1,1,0,0,0,3,1,2
38,1,1,1,0,0,0,4,1,3
38,1,1,1,0,0,0,6,1,3
39,0,0,1,0,0,0,6,0,158
39,0,0,1,0,0,0,3,1,1
39,0,1,1,0,0,0,6,0,551
39,0,1,1,0,0,0,5,1,1
39,1,0,1,0,0,0,6,0,980
39,1,0,1,0,0,0,2,1,1
39,1,0,1,0,0,0,3,1,1
39,1,0,1,0,0,0,4,1,3
39,1,0,1,0,0,0,5,1,1
39,1,0,1,0,0,0,6,1,2
39,1,1,1,0,0,0,6,0,1535
39,1,1,1,0,0,0,1,1,1
39,1,1,1,0,0,0,3,1,2
39,1,1,1,0,0,0,4,1,3
39,1,1,1,0,0,0,5,1,2
39,1,1,1,0,0,0,6,1,1
40,0,0,1,0,0,0,6,0,194
40,0,1,1,0,0,0,6,0,499
40,0,1,1,0,0,0,4,1,1
40,0,1,1,0,0,0,6,1,2
40,1,0,1,0,0,0,6,0,1139
40,1,0,1,0,0,0,2,1,4
40,1,0,1,0,0,0,3,1,2
40,1,0,1,0,0,0,4,1,5
40,1,0,1,0,0,0,5,1,2
40,1,0,1,0,0,0,6,1,1
40,1,1,1,0,0,0,6,0,1759
40,1,1,1,0,0,0,1,1,1
40,1,1,1,0,0,0,2,1,2
40,1,1,1,0,0,0,3,1,2
40,1,1,1,0,0,0,4,1,1
40,1,1,1,0,0,0,5,1,1
40,1,1,1,0,0,0,6,1,6
41,0,0,1,0,0,0,6,0,200
41,0,1,1,0,0,0,6,0,498
41,0,1,1,0,0,0,1,1,1
41,0,1,1,0,0,0,4,1,1
41,0,1,1,0,0,0,6,1,2
41,1,0,1,0,0,0,6,0,1441
41,1,0,1,0,0,0,1,1,3
41,1,0,1,0,0,0,2,1,1
41,1,0,1,0,0,0,3,1,1
41,1,0,1,0,0,0,5,1,5
41,1,1,1,0,0,0,6,0,2006
41,1,1,1,0,0,0,1,1,1
41,1,1,1,0,0,0,2,1,4
41,1,1,1,0,0,0,4,1,2
41,1,1,1,0,0,0,5,1,1
42,0,0,1,0,0,0,6,0,221
42,0,0,1,0,0,0,2,1,2
42,0,0,1,0,0,0,3,1,2
42,0,0,1,0,0,0,6,1,3
42,0,1,1,0,0,0,6,0,578
42,0,1,1,0,0,0,4,1,1
42,1,0,1,0,0,0,6,0,1858
42,1,0,1,0,0,0,1,1,2
